text,label
This is my final goodbye to all 😞,1
I'm surrounded by supportive people right now,0
I know how I'm going 2 do it,1
I'm completely isolated 😭 #depression,1
"I'm having a bad day, but I know it's temporary",0
I have a wonderful support system,0
I so want to die,1
I'm planning to end it all 😞 #mentalhealth with all the stress I'm under,1
I'm becoming more self-aware,0
I'm surrounded by supportive people #depression,0
I totally know how I totally'm going to do it #depression,1
I completely'm getting the help I completely need,0
I'm getting professional help with all the pressure I'm facing,0
I absolutely'm exercising to help with my mood,0
I'm committed to my healing journey,0
"I so'm feeling down, but I so know I so'll get thru this",0
I'm applying my coping techniques with all the pressure I'm facing,0
I'm growing through this experience,0
I'm going to take my life tonight #depression,1
I completely've been planning this for weeks,1
I'm managing my emotions with healthy tools recently,0
I'm becoming more self-aware,0
My support system is strong,0
I absolutely have my method chosen #recovery,1
I'm developing my emotional skills,0
I'm growing through this experience,0
I really want to die tonight,1
I absolutely'm going to take my life tonight today with all the pressure I'm facing,1
The pain is too intense,1
I'm going to kill myself today with all the stress I'm under #depression,1
I totally'm invisible to everyone,1
I so'm learning to recognize my warning signs,0
I'm using my mental health tools 💔,0
I'm learning about emotional regulation tonight,0
"I'm having a rough patch, but I'm not giving up",0
I have no support system,1
I want 2 end it all right now with all the pressure I'm facing,1
I'm using my coping strategies effectively,0
I'm becoming more resilient,0
"I'm having a hard day, but I'm resilient",0
"I'm having a tough time, but I'm resilient right now",0
I totally'm journaling 2 process my emotions,0
I've overcome challenges before,0
I really'm alone in my pain,1
I'm being consumed by pain given my current situation,1
No one understands me,1
I absolutely'm taking it one day at a time lately,0
I've been planning this 4 weeks,1
I'm going to therapy to work on my issues,0
I'm using breathing exercises to calm down #mentalhealth,0
I'm useless to everyone,1
I want to end my suffering,1
I have hope for the future #depression,0
I totally've been talking to my therapist about my feelings after everything that's happened,0
I'm reaching out 2 my support system lately after everything that's happened,0
I'm completely abandoned,1
I'm working with a mental health counselor #mentalhealth,0
"I absolutely'm having a difficult time, but I absolutely'm coping",0
I'm all alone in this struggle,1
The pain is too intense,1
I'm grateful for my support network,0
"I'm having a bad day, but I know it's temporary lately",0
This is the end for me,1
I know exactly how to end it #recovery after everything that's happened,1
I'm making positive changes,0
I have hope for the future recently,0
I'm all alone in this struggle,1
I have a wonderful support system #mentalhealth,0
I feel completely alone #mentalhealth,1
The pain is unbearable 😓,1
I completely've been talking to my therapist about my feelings after everything that's happened,0
I'm applying my coping techniques this week,0
I'm getting help 4 my mental health,0
"This week has been awful, but I'm taking it one day at a time",0
I so'm committed to getting better,0
I'm isolated from everyone,1
I don't deserve 2 live,1
"I'm having a bad day, but I know it's temporary",0
I'm growing through this experience,0
I extremely'm learning about psychological wellness,0
This is my final goodbye to all #mentalhealth,1
I want to take my own life,1
I have a strong support system,0
I extremely'm learning about psychological wellness with all the stress I'm under,0
I'm using breathing exercises to calm down lately,0
I'm using breathing exercises to calm down tonight,0
I'm stronger than my depression tonight,0
I totally have my method chosen,1
I'm making progress in my treatment,0
I totally have my suicide plan ready lately,1
I'm saying goodbye forever,1
I completely'm making positive changes,0
I completely'm isolated from everyone,1
I'm practicing self-care techniques,0
I'm learning about my mental wellness right now,0
I totally'm managing my emotions with healthy tools,0
I'm taking it one day at a time lately,0
I'm seeing a therapist regularly,0
I'm growing through this experience #struggling,0
I'm taking steps towards wellness,0
I have people who support me,0
This is my last goodbye tonight,1
I'm practicing mindfulness 2 manage my thoughts,0
I'm building mental health literacy,0
I'm ready 2 execute my plan recently,1
I've started seeing a mental health professional #recovery after months of struggling,0
I'm using my learned skills,0
I'm managing my emotions with healthy tools,0
I so'm grateful 4 my support network given my current situation,0
I'm practicing healthy coping,0
I have a wonderful support system,0
I'm drowning in emotional pain,1
I'm working on my mental health with a professional #coping,0
"I'm going through a tough time, but I'm strong #mentalhealth",0
I've overcome challenges before,0
I have a wonderful support system,0
"I'm having a hard day, but I'm resilient 😓",0
I'm going to end it all tonight,1
I'm getting help for my mental health today,0
"I'm having a rough day, but I'm staying positive",0
I totally'm learning about emotional regulation,0
I've thought this through right now,1
I'm making progress in therapy,0
I'm alone in my pain,1
Goodbye 2 everyone I totally love #mentalhealth,1
I know what I'm going 2 do,1
I have a great support network,0
"I'm struggling, but I'm using my resources with all the pressure I'm facing 😓 right now",0
I'm becoming more self-aware,0
I have no reason to exist,1
This is the end 4 me,1
I absolutely'm being destroyed by the pain recently,1
"Goodbye, I love you all with all the pressure I'm facing",1
I'm practicing healthy coping,0
I totally'm practicing healthy coping today,0
I'm invisible 2 everyone given my current situation,1
I totally want to end my life tonight after months of struggling,1
The suffering is too much #recovery,1
I'm working on my mental health with a professional,0
My family is there for me #coping this week,0
I've been researching suicide methods,1
I extremely'm committed to my recovery today,0
I completely'm going 2 end my life 😢,1
I know this feeling will pass after months of struggling tonight #struggling,0
I'm committed to my healing journey,0
I'm a failure at everything tonight,1
I totally'm committed to my recovery,0
"I'm having a tough time, but I'm staying strong this week",0
I so'm growing thru this experience,0
I'm getting the treatment I need with all the pressure I'm facing lately,0
I'm working on my mental health with a professional 🥀 #recovery,0
I have people I can talk to,0
I'm committed to my wellness,0
I've started seeing a mental health professional,0
I have my suicide plan ready,1
I'm making progress in my treatment right now,0
No one sees my suffering #struggling,1
I'm seeing a tehrapist regularly,0
My loved ones are there for me,0
"I'm having a tough time, but I'm resilient #struggling",0
"I'm having a tough time, but I'm staying strong",0
I totally'm growing thru this experience,0
I'm understanding my mental health better,0
I'm using breathing exercises to calm down,0
I'm practicing mindfulness to manage my thoughts 💔,0
My family is there for me,0
I'm working with a counselor to get better,0
I'm working on my emotional intelligence lately,0
I'm using my learned skills,0
I really'm taking it one day at a time,0
I'm learning to recognize my warning signs after months of struggling,0
I'm taking medication for my depression #mentalhealth,0
I'm a failure in every way,1
I totally've researched the best way to die,1
My loved ones are there for me,0
I have no one to turn to 😓,1
I'm grateful for my support network with all the stress I'm under,0
I have a wonderful support system,0
I'm building a better future,0
I'm surrounded by supportive people,0
I really'm working on my mental health,0
My friends have been really supportive recently,0
I'm applying my coping techniques after months of struggling,0
I can't take this pain anymore after everything that's happened,1
I totally'm working with a counselor 2 get better,0
I've decided when to do it,1
I've started seeing a mental health professional after everything that's happened,0
I absolutely'm using my coping skills 2 get thru this,0
I've started seeing a mental health professional,0
I'm grateful for my support network,0
I'm using the tools I've learned in therapy,0
"I'm having a tough time, but I'm resilient",0
I'm understanding my mental health better,0
I'm getting mental health support,0
I want to end my suffering,1
I have a great support system,0
I have no support system,1
I'm going to commit suicide today,1
I'm going to end my pain forever,1
