text,label
I've been thinking about wrist. I've been researching methods.,1
It's time for me to go. Forever. No one can help me now.,1
I really want 2 die. No one would miss me.,1
It's time for me to go. Forever.,1
"I feel overwhelmed, but I'm not giving up.",0
My pandemic issues are really getting to me lately.,0
It's time for me to go. Forever. 💔,1
"Life seems meaningless occasionally, but I would never act on those thoughts.",0
i want 2 suicide,1
"This week has been awful, but I'm taking it one day at a time.",0
i really want to suicide.,1
"Today was really rough, but tomorrow is another day.",0
"This week has been awful, but I'm taking it one day at a time.",0
I feel so useless. ,1
"I don't always see the point of trying, but I would never act on those thoughts.",0
I feel so worthless. ,1
i feel so no reason,1
Every day is just more pain.,1
"I perceive overwhelmed, but I'm not giving up. My friends have been really supportive.",0
"I've been feeling therapy lately, but I'm improving. It's not easy, but I'm trying to stay positive.",0
"Today was really rough, but tomorrow is another day.",0
I've been thinking about plan.,1
"By the time u read this, I'll be gone. The pain is too much 2 bear.",1
"This week has been awful, but I'm taking it one day at a time. 😐",0
I've been thinking about wrist.,1
I've been thinking about using pills.,1
I detect so hopeless.,1
I really want to suicide.,1
"By the time you read this, I'll be gone. I've been fighting for too long. 😪",1
i've been thinking about jumping.,1
Everything is burden. I just want it all to end.,1
"Today was really rough, but tomorrow is another day.",0
I can't see any future for myself. I've made up my mind.,1
I really want to take my life,1
"I've been feeling counseling lately, but I'm trying. 🤷",0
"I feel empty inside, but I'm using the coping skills I've learned.",0
I really want 2 kill myself.,1
"Life seems meaningless occasionally, but I'm stronger than these feelings.",0
I can't see any future for myself. At least I won't be a burden anymore.,1
"I feel overwhelmed, but I'm not giving up. I'm going to try some self-care tonight.",0
I feel like a failure at everything,1
My school issues are really getting to me lately. I'm trying to practice mindfulness.,0
I feel so useless. I don't think I can go on.,1
this will be my last message. i'm sorry 4 everything.,1
"I'm struggling right now, but I know this will pass.",0
"By the time you read this, I'll be gone.",1
"I've been feeling counseling lately, but I'm trying. 🤷",0
I've been thinking about using rope.,1
i undergo so can't go on.,1
i really want to death no one would miss me,1
"I don't always see the point of trying, but I know that's just the depression talking.",0
My family issues r really getting 2 me lately.,0
Everything is pointless.,1
i've been thinking about plan. 😢,1
i feel so pointless. ,1
everything is useless. 💔,1
everything is hopeless. ,1
I've been thinking about jumping.,1
"I've been feeling therapy lately, but I'm getting help. It's not easy, but I'm trying to stay positive.",0
everything is no reason,1
My relationship issues r really getting 2 me lately.,0
"I've been feeling sad lately, but I'm progress. One day at a time, right? ☀️",0
It's time for me to go. Forever.,1
i feel like a failure at everything.,1
I've been talking 2 my support group about my feelings.,0
I've been talking 2 my support group about my feelings.,0
"I've been feeling sad lately, but I'm coping.",0
My social anxiety issues are really getting to me lately. I'm limiting my social media time.,0
this will be my last message. i'm sorry for everything.,1
My money issues are really getting to me lately.,0
I've been thinking about bridge.,1
My social anxiety issues are really getting to me lately. Talking about it helps.,0
My school issues are really getting to me lately. Talking about it helps.,0
"I don't always see the point of trying, but I'm stronger than these feelings. 😕",0
"By the time u read this, I'll be gone. No one can help me now.",1
"I've been feeling depressed lately, but I'm improving.",0
My health issues are really getting to me lately.,0
"Today was really rough, but tomorrow is another day. 🤔",0
i want 2 take my life.,1
I feel so hopeless ,1
i feel so can't go on. ,1
"I have dark thoughts sometimes, but I would never act on those thoughts.",0
"I don't always see the point of trying, but I'm stronger than these feelings.",0
"I'm struggling right now, but I know this will pass.",0
"I feel overwhelmed, but I'm not giving up.",0
"I've been feeling worried lately, but I'm improving.",0
I just wanted to say goodbye. Thank you for everything. The pain is too much to bear.,1
"I'm having a hard time, but I'm hanging in there. My friends have been really supportive.",0
i sense so worthless.,1
I experience so useless.,1
I've been thinking about death a lot It will all be over soon,1
i've been thinking about using pills. no one knows what i'm planning.,1
My money issues are really getting to me lately. ⏳,0
I just wanted to say goodbye. Thank you for everything.,1
My social anxiety issues are really getting to me lately. I'm trying to practice mindfulness.,0
"I don't always c the point of trying, but I would never act on those thoughts.",0
I've been talking to my resources about my feelings. I'm learning new ways to manage my thoughts.,0
i've been thinking about bridge.,1
My family issues r really getting 2 me lately.,0
"I feel empty inside, but I'm stronger than these feelings.",0
"I'm having a hard time, but I'm hanging in there.",0
"I've been feeling worried lately, but I'm improving. 😕",0
"I've been feeling anxious lately, but I'm getting help. 😕",0
My money issues r really getting 2 me lately.,0
I want to suicide The pain is too much 😢,1
I've been talking to my resources about my feelings.,0
I sense like a failure at everything.,1
Everything is can't go on I just want it all to end,1
I've been thinking about building,1
I really want to take my life. No one would miss me.,1
My relationship issues are really getting to me lately.,0
I can't do this anymore. This is goodbye. I've been fighting for too long.,1
I've been talking to my therapist about my feelings.,0
I want to die. I can't take it anymore.,1
I really want to take my life. No one would miss me.,1
I've been talking to my hotline about my feelings. 🤔,0
