text,label
I'm working towards recovery 😢,0
I so'm using my therapy tools,0
I so'm going to end my pain forever,1
I'm using positive self-talk right now,0
My loved ones are helping me through this,0
I'm becoming more self-aware,0
I'm worthless and useless #struggling,1
I have my method chosen,1
I've overcome challenges before,0
I've started seeing a mental health professional #recovery,0
I'm committed 2 getting better,0
I'm building a better future,0
I absolutely'm completely on my own,1
I'm building a better future #depression,0
"This week has been awful, but I'm taking it one day at a time today #depression",0
I'm not alone because I have support,0
I so'm focusing on self-care,0
My support system is strong with all the stress I'm under this week,0
I'm reaching out to my support system #coping,0
I'm applying my coping techniques,0
I'm focusing on self-care,0
I absolutely'm using my mental health tools,0
I'm building mental health literacy,0
I'm planning to end it all,1
I'm being crushed by pain,1
I completely'm completely worthless,1
I'm using my mental health tools,0
"I'm having a rough patch, but I'm not giving up with all the stress I'm under",0
I'm invisible to everyone,1
I'm getting mental health support,0
I've been planning this for weeks,1
I'm working with a mental health counselor,0
I have no reason to live,1
I'm exercising to help with my mood,0
I really'm completely alone recently,1
I'm committed to my wellness,0
I have a great support system,0
"I'm having challenges, but I'm persevering #mentalhealth",0
"I'm struggling, but I'm using my coping skills",0
I'm going to kill myself today,1
I so'm exercising to help with my mood #depression,0
I'm focusing on self-care lately,0
I'm making progress in my healing,0
I'm getting the help I need,0
"I'm having a tough time, but I'm resilient",0
I'm grateful for my support network,0
I absolutely'm developing mental health awareness,0
Goodbye to all my loved ones lately,1
"This week has been awful, but I'm taking it one day at a time with all the pressure I'm facing",0
"I'm feeling down, but I know I'll get through this",0
I'm surrounded by supportive people #mentalhealth recently,0
I'm committed to my wellness today,0
The emotional suffering is killing me with all the stress I'm under,1
"I extremely'm going through a tough time, but I extremely'm strong recently",0
There's no point in trying,1
I can't see any future #depression,1
I completely have a detailed plan #depression tonight,1
I'm being destroyed by teh pain 😭 #mentalhealth,1
My loved ones r tehre 4 me #struggling,0
I'm applying what I learned in therapy,0
I extremely'm working on my mental health,0
I'm completely on my own,1
I'm going 2 end my pain forever today,1
I'm making progress in therapy,0
Goodbye to all my loved ones,1
My loved ones are helping me through this with all the pressure I'm facing,0
My loved ones are helping me through this,0
I'm focusing on self-care,0
"I feel overwhelmed, but I'm not giving up",0
"I'm having challenges, but I'm coping well tonight",0
I'm completely alone,1
I completely've prepared everything for my death,1
I'm all alone in this struggle,1
I have a plan to end my life,1
I'm going to therapy to work on my issues this week,0
I'm working on my mental health,0
I'm using my learned skills,0
I'm seeing a therapist regularly,0
I'm building my mental health knowledge this week #depression,0
I completely'm committed to my recovery,0
I'm understanding my mental health better #depression,0
I want to kill myself,1
I have my suicide plan ready,1
I have a great support system,0
I'm a complete waste,1
"I'm going through a tough time, but I'm strong with all the pressure I'm facing this week",0
I'm working on my mental health this week,0
I'm developing better coping strategies,0
"I'm struggling, but I'm using my coping skills tonight",0
I've overcome challenges before,0
The pain is unbearable tonight,1
"I'm having a hard day, but I'm resilient",0
I completely'm saying goodbye forever,1
I'm completely on my own with all the stress I'm under,1
I'm developing better coping strategies,0
No one understands me,1
I know I can overcome this this week after everything that's happened,0
I extremely'm using my therapy tools,0
The hurt is overwhelming,1
I'm saying goodbye forever this week,1
I'm drowning in emotional pain,1
I so'm practicing self-care techniques after months of struggling,0
I extremely'm educating myself about depression,0
I'm committed to my wellness,0
"I so feel overwhelmed, but I so'm not giving up",0
I've thought this through tonight,1
I'm understanding my triggers better,0
I have a strong support system,0
My family is there for me,0
I'm learning about my mental wellness,0
I'm becoming more resilient,0
I totally'm not alone because I totally have support,0
I'm completely worthless recently,1
I'm managing my emotions with healthy tools,0
I'm invisible to everyone,1
I'm going to commit suicide,1
I'm making positive changes,0
The pain is unbearable #mentalhealth,1
I'm being crushed by pain after months of struggling,1
I'm surrounded by supportive people #struggling,0
"I feel overwhelmed, but I'm not giving up",0
I have people who understand me,0
I'm using my coping skills to get through this,0
I so'm journaling 2 process my emotions 😭,0
I completely'm alone and forgotten,1
I know this feeling will pass,0
I really'm taking it one day at a time,0
No one sees my suffering #recovery lately,1
I'm going to commit suicide today,1
"I'm having a rough day, but I'm staying positive",0
I so'm getting treatment for my issues,0
"I'm having challenges, but I'm persevering",0
I'm getting treatment 4 my issues,0
I'm saying goodbye 2 the world lately,1
I'm journaling to process my emotions,0
"I'm going through difficulties, but I'm strong",0
I have a strong support system #depression,0
I'm developing my emotional skills,0
I really want to end my suffering with all the pressure I really'm facing,1
I'm stronger than my depression this week,0
I'm taking it one day at a time after everything that's happened,0
I'm taking steps towards wellness right now,0
I extremely have a strong support system,0
The emotional suffering is killing me with all the stress I absolutely'm under #recovery,1
"I'm having a hard time, but I'm hanging in there #coping",0
I'm applying what I learned in therapy,0
I absolutely have hope for the future,0
I'm learning about my mental health tonight after everything that's happened,0
I absolutely'm committed to my recovery,0
"I'm going through difficulties, but I'm strong recently",0
My friends and family r supportive,0
I've researched the best way to die,1
I'm getting professional help #coping today,0
I'm using my learned skills,0
I'm managing my emotions with healthy tools 💔 this week,0
I absolutely'm not alone in this struggle,0
I know exactly how to end it,1
I've been planning this for weeks,1
"Today was really rough, but tomorrow is another day",0
"I'm feeling down, but I know I'll get through this",0
I totally'm isolated from everyone,1
I'm using healthy coping mechanisms,0
"This week has been awful, but I so'm taking it one day at a time after months of struggling right now",0
I have people who understand me #coping recently,0
No one would miss me,1
I'm grateful 4 my support network,0
I've started seeing a mental health professional,0
I have a great support network today given my current situation,0
I really'm drowning in emotional pain,1
The emotional suffering is killing me with all the pressure I'm facing,1
"I'm having a hard time, but I'm hanging in there after everything that's happened",0
I'm completely abandoned,1
"I'm struggling, but I'm using my resources",0
I'm seeing a therapist regularly lately,0
I absolutely'm using my therapy tools,0
I have people who understand me #coping,0
I'm drowning in emotional pain lately,1
I'm building my mental health knowledge given my current situation today,0
I'm developing better coping strategies after months of struggling,0
I have no reason 2 exist,1
I just wanted to say goodbye #struggling,1
I completely'm practicing healthy coping after everything that's happened 😢,0
I'm completely isolated recently,1
This is my last goodbye,1
I'm becoming more self-aware with all the pressure I'm facing,0
I'm practicing mindfulness to manage my thoughts right now,0
I'm taking steps towards wellness,0
I really'm understanding my mental health better 😓,0
I'm working towards healing,0
I'm working with a therapist after everything that's happened,0
I'm making progress in my healing tonight,0
My friends and family are supportive,0
"I'm having a rough day, but I'm staying positive",0
I'm saying goodbye to the world,1
I'm practicing healthy coping,0
My loved ones are there for me,0
I'm making positive changes,0
I'm building my mental health knowledge,0
I'm going to kill myself today recently,1
I extremely'm educating myself about depression,0
I'm in therapy and making progress,0
I really'm going to therapy to work on my issues,0
I'm going to kill myself tonight this week,1
Life is meaningless today,1
I'm working towards recovery,0
My loved ones are there for me this week,0
"This week has been awful, but I'm taking it one day at a time",0
I'm getting the treatment I need,0
I've written my suicide note,1
This is my final message after months of struggling,1
I'm journaling to process my emotions,0
I'm reaching out to my support system,0
I'm working on my recovery daily,0
"I'm having a tough time, but I'm staying strong today",0
I'm working with a mental health counselor,0
"This week has been awful, but I'm taking it one day at a time",0
I'm saying goodbye to the world,1
I'm developing better coping strategies #struggling,0
I'm working on my mental health with a professional with all the stress I'm under,0
This is my final goodbye,1
I'm practicing mindfulness 2 manage my thoughts with all the pressure I'm facing,0
I completely'm completely abandoned,1
I'm working with a counselor to get better #mentalhealth,0
I have a wonderful support system,0
The pain is destroying me #recovery,1
I really have hope for the future,0
